value;COUNTER
je;30657
.;25867
?;24566
!;23298
de;22264
pas;21259
,;21078
tu;19223
et;17983
est;16365
j;15771
a;15650
la;15449
c;15079
le;14833
que;13718
t;11666
en;11432
à;11194
...;10959
un;10012
mais;9904
on;9640
ai;8699
pour;8234
il;7316
l;7288
les;7183
moi;7052
me;6974
ça;6851
si;6225
d;6107
ce;6007
va;5978
te;5782
toi;5722
ca;5441
bien;5419
une;5364
oui;5299
suis;5265
au;5257
fait;4890
lol;4823
des;4750
qu;4646
du;4631
plus;4368
mon;4344
y;4304
non;4290
ou;4166
m;4108
bon;4094
avec;4052
elle;4040
sur;3937
qui;3723
tout;3720
as;3687
ok;3649
ma;3576
quoi;3482
trop;3411
alors;3371
bisous;3358
dans;3310
faire;3155
quand;3148
sais;3099
aime;3062
se;3015
demain;3012
mdr;2943
ta;2748
es;2741
vais;2498
soir;2497
dit;2474
fais;2464
sa;2429
aussi;2421
chez;2419
ah;2400
ton;2389
comme;2374
vous;2299
:p;2266
rien;2239
veux;2152
lui;2095
ne;2091
bonne;1976
donc;1952
voir;1940
là;1928
s;1926
merci;1916
dis;1894
pr;1881
meme;1870
peu;1868
peux;1816
ben;1750
bah;1701
dire;1688
!!!;1672
:d;1660
ouais;1639
encore;1621
faut;1551
juste;1534
n;1525
vu;1523
heure;1466
par;1454
aller;1453
etre;1451
cours;1429
pense;1421
!!;1416
viens;1378
ils;1356
pa;1335
temps;1324
après;1287
nous;1281
coucou;1276
comment;1252
était;1247
xd;1243
peut;1233
parce;1188
mes;1172
vas;1151
avais;1089
mal;1079
vraiment;1078
gros;1070
coup;1060
??;1047
sinon;1035
passe;1033
tes;1023
ya;1008
truc;997
mdrrr;977
avoir;977
nuit;963
avant;954
arrive;952
nan;940
pourquoi;938
déjà;934
tt;929
fois;928
cool;922
sont;921
cette;909
eu;906
..;902
soirée;890
enfin;855
quelle;853
matin;850
autre;844
mieux;837
ke;836
semaine;832
g;827
son;823
venir;818
genre;813
crois;811
tkt;795
vers;789
toute;786
jte;784
car;766
hier;765
moins;756
très;746
jai;745
fini;739
prendre;731
toujours;725
ont;698
vois;690
super;689
oh;687
manger;664
sera;655
ouai;647
envie;646
puis;645
journée;644
petit;641
où;639
passer;634
samedi;627
avait;626
jamais;625
sans;603
ms;600
ds;600
amour;597
dois;588
deux;581
rentre;576
grave;574
vrai;573
tard;572
aprem;562
tous;559
espère;559
chose;557
train;556
merde;555
coeur;547
prend;545
être;542
monde;540
passé;538
stp;537
été;536
pk;535
dc;534
aujourd;534
jsuis;532
hui;530
moment;529
veut;526
tel;524
i;524
accord;521
voilà;519
message;518
parle;516
cas;512
vendredi;509
marche;507
étais;507
contre;505
hein;505
aurais;504
soit;503
voit;502
depuis;497
vient;495
besoin;494
part;493
même;491
fin;490
parler;490
dsl;488
plein;488
savoir;486
laisse;478
envoyé;478
midi;477
aux;475
salut;474
quel;473
çà;470
beaucoup;468
jour;466
pris;464
etait;462
maintenant;460
euh;459
maison;456
vie;445
voulais;442
bisou;442
voiture;441
attend;440
mère;439
sms;437
vite;434
courage;431
mec;429
trouve;429
reste;427
hey;427
gens;423
jme;423
tiens;422
autres;421
doit;419
putain;416
partir;407
mange;405
lundi;403
apres;400
jeudi;399
devant;399
surtout;398
regarde;398
dormir;395
o;393
seule;392
tant;387
pu;386
mdrr;386
:s;385
mm;384
place;384
mai;383
cet;383
pire;382
verra;382
film;381
di;380
appelle;380
fac;377
fort;377
mercredi;376
boulot;373
sens;373
ensemble;372
personne;371
jv;369
ses;368
fou;368
tram;366
week;366
x;365
courant;365
allé;364
nn;363
allez;363
demande;359
beau;357
pars;357
petite;356
bus;355
grand;350
jours;349
tte;349
bref;348
serai;346
ville;345
trucs;345
chercher;345
bientot;343
reçu;338
entre;336
désolée;336
maman;334
belle;329
mardi;329
mettre;329
pareil;328
anniversaire;326
biz;325
cest;324
aura;322
envoyer;322
combien;319
tete;319
oki;318
attends;318
prof;318
jusqu;317
prochaine;317
dimanche;315
commence;315
connais;314
bonjour;313
haha;309
raison;309
parents;307
leur;306
mail;305
peur;304
désolé;302
histoire;302
ces;300
notre;299
question;296
beh;296
end;295
plaisir;294
tellement;293
donne;292
envoie;290
photo;290
lit;289
sous;289
sympa;287
koi;286
mis;285
serait;285
trouvé;285
dur;284
dors;284
méme;284
vs;284
we;284
ici;282
kan;282
bcp;281
travail;281
:o;280
ordi;279
qd;279
lool;279
fille;278
ki;278
you;277
prends;276
rentrer;275
retard;274
sors;274
trouver;274
chier;271
demander;271
pote;270
p;270
tjs;269
anglais;269
pis;266
com;264
manque;264
rdv;262
chaud;262
jsui;261
compris;261
compte;260
ct;258
cei;258
seul;258
sortir;257
h;257
ans;256
possible;254
hahaha;254
texto;253
oublié;253
eh;252
loin;252
normal;251
min;251
assez;248
contente;246
faite;245
serais;245
bosser;244
année;244
finalement;244
deja;243
vacances;243
ni;242
the;242
fai;241
normalement;240
heures;240
parti;239
papa;238
ha;238
faudra;238
dernier;238
chance;237
plutot;235
regarder;235
quelque;234
finis;234
weekend;234
paris;233
coté;233
mort;233
sait;233
suite;231
autant;231
bas;230
!!!!;230
met;229
partie;229
mois;229
meuf;228
parlé;228
acheter;227
ac;227
elles;226
idée;226
dormi;224
avez;224
to;224
arrete;224
aurait;222
donner;222
franchement;222
choses;222
aurai;221
père;220
hum;220
celui;220
tres;220
classe;219
essayer;219
boire;219
air;219
avc;218
con;218
bosse;218
ailleurs;218
ira;215
montpellier;215
salle;214
arriver;214
ptdr;213
u;213
comprend;211
dispo;210
nul;210
pendant;210
jvais;210
demandé;209
début;209
quelqu;209
soucis;208
fera;208
longtemps;207
dernière;207
fasse;206
copine;206
psk;206
rep;206
bises;205
appeler;205
malade;203
pourrais;202
tot;202
etes;202
pouvoir;201
:-p;200
chéri;200
oue;200
gentil;200
ciné;199
finir;199
internet;199
penser;198
espere;197
portable;197
sauf;197
retour;197
nouvelles;196
pck;195
tps;194
surement;194
hello;193
facebook;192
pensais;191
prochain;191
voila;191
rester;189
plu;188
sois;188
mn;188
gare;188
mere;187
jei;187
dommage;186
problème;186
pfff;186
toutes;185
droit;184
oublie;184
courses;184
sure;183
famille;183
point;183
cadeau;182
rentrée;181
appart;181
fb;181
vont;180
instant;179
savais;178
boite;178
presque;178
avoue;178
nos;176
cc;175
photos;175
penses;175
filles;175
prévu;174
dessus;174
jvai;173
mdrrrr;173
jen;173
st;172
peine;171
el;171
cher;171
avance;170
avis;169
plait;169
pauvre;169
???;169
attendre;169
dodo;168
dirai;167
répond;167
numéro;167
marre;166
tomber;166
rire;166
veu;166
appel;165
donné;165
cause;164
sport;164
répondre;163
carte;163
quelques;163
livre;162
noel;162
clair;162
changer;162
nouvelle;161
an;161
direct;160
tjr;160
route;160
est-ce;159
justement;159
bb;158
long;158
travaille;158
stage;158
bizarre;158
soeur;157
votre;157
pourra;157
face;157
souci;156
match;156
kel;155
bn;155
écoute;154
cour;154
okay;154
msg;154
celle;153
réponse;153
étre;153
retrouve;153
nom;152
froid;152
téléphone;151
façon;151
chambre;150
voilou;150
oui^^;150
rapport;150
maths;149
niveau;149
seras;149
facon;148
news;148
douche;148
yes;148
arrivé;148
amis;148
café;148
gueule;147
sort;147
and;147
imagine;147
heureusement;146
laisser;146
20h;145
fete;145
ptit;145
re;144
potes;144
hi;144
manques;143
deg;143
excuse;143
lu;143
beaux;143
libre;143
perdu;143
inquiète;142
jy;142
euros;141
v;141
minutes;141
etc;141
grosse;141
19h;141
chaque;140
e;140
no;140
préfère;140
bientôt;139
jus;139
week-end;139
aucun;139
jpense;138
comprends;138
18h;138
vien;138
tranquille;138
premier;138
sorti;138
aucune;138
mangé;137
in;137
sérieux;137
dirais;136
resto;136
souhaite;136
joyeux;136
pensé;135
aimerais;135
bout;134
eux;134
essaye;134
parfait;134
dès;134
faudrait;133
17h;133
pourras;133
moyen;133
disais;133
partout;133
tjrs;133
profite;133
lycée;132
envoi;132
yeux;132
change;132
mot;132
tro;131
auras;131
font;131
chérie;131
près;131
aille;130
rouge;130
sac;129
tour;129
coucher;129
mode;129
ba;128
mwa;128
adresse;128
raconte;128
importe;128
groupe;127
dont;127
travailler;127
fallait;126
cherche;126
num;126
bein;126
frère;126
bisoux;126
lieu;125
ptdrrr;125
porte;125
doute;125
simple;125
aider;124
ferai;124
effet;124
souvent;124
appelé;123
france;123
sujet;123
devoir;123
rendre;123
jouer;122
kil;122
voulait;122
allait;122
apparemment;122
essaie;121
bin;121
k;121
soiree;121
garde;121
etais;121
ensuite;121
srx;121
amie;121
messages;120
comprendre;120
drole;120
note;120
nouveau;120
repas;120
mignon;120
pourrait;120
fond;119
slt;119
rentré;119
blanc;119
répondu;119
verre;118
trois;118
parles;118
jsais;118
jsai;117
faute;117
it;117
joue;117
pied;117
controle;117
recu;116
hihi;116
semaines;116
questions;116
grande;116
gars;116
content;115
attention;115
allais;115
reviens;114
pq;114
risque;114
pere;114
impression;114
diras;114
vieux;114
devrait;114
ns;113
eau;113
rappelle;113
bar;113
choix;113
allée;113
vaut;112
rentres;112
seulement;112
bu;111
ouf;111
reves;111
ceux;111
lire;110
télé;110
cela;110
rue;110
forme;110
twa;110
love;109
ptite;109
site;109
16h;109
petits;109
top;108
2h;108
chiant;108
sui;108
mdr..;108
exactement;108
chou;108
arret;107
oublier;107
voulu;106
faisait;106
propose;106
philo;106
façons;106
venu;106
poutou;105
confiance;105
plan;105
facile;105
revoir;105
pause;104
1h;104
aide;104
jeu;104
sinn;104
tien;104
moral;104
physique;104
explique;104
commencé;104
ami;103
mince;103
ui;103
bof;103
final;103
lettre;103
sert;103
1er;102
dirait;102
arrives;102
essayé;102
embrasse;102
pro;102
personnes;102
pourrai;102
limite;102
alr;101
irai;101
première;101
faim;101
écrire;101
pose;101
noir;101
souviens;101
ak;101
mets;101
arrivée;100
poulette;100
but;100
ete;100
just;100
15h;100
cheveux;100
acheté;100
